Date;Price;StopLimit;Margin;Diff
2017-09-10 07:41:37;0;ETH;293.00000;292;1.00000
2017-09-10 07:42:08;0;ETH;292.21000;292;0.21000
2017-09-10 07:42:39;0;ETH;292.91000;292;0.91000
2017-09-10 07:43:09;0;ETH;292.91000;292;0.91000
2017-09-10 07:43:40;0;ETH;292.60000;292;0.60000
2017-09-10 07:44:11;0;ETH;292.60000;292;0.60000
2017-09-10 07:44:42;0;ETH;292.21000;292;0.21000
2017-09-10 07:45:13;0;ETH;292.21000;292;0.21000
2017-09-10 07:45:44;0;ETH;292.21000;292;0.21000
2017-09-10 07:46:15;0;ETH;292.60000;292;0.60000
2017-09-10 07:46:46;0;ETH;292.60000;292;0.60000
2017-09-10 07:47:18;0;ETH;292.20000;292;0.20000
2017-09-10 07:47:48;0;ETH;292.99000;292;0.99000
2017-09-10 07:48:18;0;ETH;292.20000;292;0.20000
2017-09-10 07:48:48;0;ETH;292.99000;292;0.99000
2017-09-10 07:49:19;0;ETH;292.99000;292;0.99000
2017-09-10 07:49:49;0;ETH;292.20000;292;0.20000
2017-09-10 07:50:20;0;ETH;292.20000;292;0.20000
2017-09-10 07:50:50;0;ETH;292.21000;292;0.21000
2017-09-10 07:51:21;0;ETH;292.44000;292;0.44000
2017-09-10 07:51:52;0;ETH;292.49000;292;0.49000
2017-09-10 07:52:23;0;ETH;292.96000;292;0.96000
2017-09-10 07:52:53;0;ETH;292.95000;292;0.95000
2017-09-10 07:53:25;0;ETH;292.70000;292;0.70000
2017-09-10 07:53:56;0;ETH;292.55000;292;0.55000
2017-09-10 07:54:27;0;ETH;292.02000;292;0.02000
2017-09-10 07:54:58;0;ETH;292.55000;292;0.55000
2017-09-10 07:55:28;0;ETH;291.86000;292;-0.14000
